encoder,role,L,mean_norm,anisotropy,paired_l2_to_Lref,wasserstein_norm_to_Lref,L_ref
comet-wmt22-comet-da-MOCK,comet,16,0.3020801842212677,0.244187593460083,0.0,0.0,16
comet-wmt22-comet-da-MOCK,comet,32,0.23617011308670044,0.40582209825515747,0.19122515618801117,0.06591008080849572,16
comet-wmt22-comet-da-MOCK,comet,64,0.1986161470413208,0.5819981694221497,0.23078158497810364,0.10346403535869386,16
comet-wmt22-comet-da-MOCK,comet,128,0.17834821343421936,0.7264649271965027,0.24733389914035797,0.12373197000651134,16
comet-wmt22-comet-da-MOCK,comet,256,0.16744939982891083,0.825617790222168,0.25512534379959106,0.13463079066030556,16
comet-wmt22-comet-da-MOCK,comet,512,0.16146789491176605,0.8845020532608032,0.25932127237319946,0.1406122960031978,16
xlmr-xlm-roberta-large-MOCK,raw,16,0.30299097299575806,0.2506178021430969,0.0,0.0,16
xlmr-xlm-roberta-large-MOCK,raw,32,0.23832571506500244,0.4191644787788391,0.19097599387168884,0.06466524468527901,16
xlmr-xlm-roberta-large-MOCK,raw,64,0.20158596336841583,0.596100389957428,0.23070453107357025,0.10140500558274132,16
xlmr-xlm-roberta-large-MOCK,raw,128,0.181621715426445,0.7383134961128235,0.2473360151052475,0.12136922175922094,16
xlmr-xlm-roberta-large-MOCK,raw,256,0.1710851937532425,0.8353037238121033,0.25511524081230164,0.13190576155034323,16
xlmr-xlm-roberta-large-MOCK,raw,512,0.16549837589263916,0.892385721206665,0.25930702686309814,0.13749257451485075,16
