encoder,regime,L,lang,acc_mean,acc_std,f1_mean,f1_std,n_seeds,n_test,role,acc_lo,acc_hi,f1_lo,f1_hi
comet-wmt22-comet-da-MOCK,probe_per_length,16,en,0.6851851851851851,0.042431256434776334,0.28809065713827614,0.01921382748080626,3,36,comet,0.5833333333333334,0.8611111111111112,0.21725363921792495,0.36148592809307095
comet-wmt22-comet-da-MOCK,probe_per_length,32,en,0.8055555555555557,0.0,0.3466742252456538,0.0017273461650833147,3,36,comet,0.6798611111111112,0.9312499999999994,0.2631699220092078,0.39430701573558713
comet-wmt22-comet-da-MOCK,probe_per_length,64,en,0.9629629629629629,0.01603750747748965,0.4124464600655076,0.006982316180675774,3,36,comet,0.8333333333333334,1.0,0.3325,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,128,en,0.9722222222222222,0.0,0.4164777021919879,0.0,3,36,comet,0.9166666666666666,1.0,0.35768140589569164,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,256,en,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,512,en,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,16,fr,0.49074074074074076,0.01603750747748962,0.19562967896301223,0.011780794899287707,3,36,comet,0.3333333333333333,0.6666666666666666,0.11327922077922081,0.236539294039294
comet-wmt22-comet-da-MOCK,probe_per_length,32,fr,0.7592592592592592,0.04243125643477633,0.3197244554387412,0.021540216567867383,3,36,comet,0.5833333333333334,0.8888888888888888,0.22501925770308126,0.36502878074306633
comet-wmt22-comet-da-MOCK,probe_per_length,64,fr,0.9166666666666666,0.0,0.39247921390778523,0.0,3,36,comet,0.8055555555555556,1.0,0.311446978946979,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,128,fr,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,256,fr,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,512,fr,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,16,hu,0.5740740740740741,0.016037507477489596,0.24458301839254215,0.010081876026771044,3,36,comet,0.4166666666666667,0.75,0.1762570861678005,0.3045541165184022
comet-wmt22-comet-da-MOCK,probe_per_length,32,hu,0.7592592592592592,0.016037507477489596,0.32778121349549916,0.007664678898332685,3,36,comet,0.6111111111111112,0.8756944444444438,0.2346159016966471,0.37034340659340664
comet-wmt22-comet-da-MOCK,probe_per_length,64,hu,0.8703703703703703,0.03207501495497916,0.37044595616024184,0.014597404765225216,3,36,comet,0.8055555555555556,0.9722222222222222,0.3165667665667666,0.41836211407639984
comet-wmt22-comet-da-MOCK,probe_per_length,128,hu,0.9907407407407408,0.016037507477489565,0.4245401864449483,0.006982316180675719,3,36,comet,0.9166666666666666,1.0,0.3586805555555555,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,256,hu,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,512,hu,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,16,it,0.6944444444444443,0.0,0.2903170022217641,0.004220231153027823,3,36,comet,0.5555555555555556,0.8756944444444438,0.2128384115884116,0.34931150237872927
comet-wmt22-comet-da-MOCK,probe_per_length,32,it,0.8796296296296297,0.03207501495497917,0.3771352985638699,0.014108599438474256,3,36,comet,0.75,0.9722222222222222,0.29125463821892394,0.40919929743459155
comet-wmt22-comet-da-MOCK,probe_per_length,64,it,0.9444444444444443,0.0,0.40473670949861423,0.000610952665809147,3,36,comet,0.8611111111111112,1.0,0.34370129870129873,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,128,it,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,256,it,0.9814814814814815,0.016037507477489596,0.420508944318468,0.006982316180675719,3,36,comet,0.9166666666666666,1.0,0.35119047619047616,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,512,it,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,16,nl,0.5370370370370371,0.08929306260178661,0.2365586794158222,0.034234178132077665,3,36,comet,0.3333333333333333,0.6256944444444438,0.14150373280625386,0.2674948464234178
comet-wmt22-comet-da-MOCK,probe_per_length,32,nl,0.8333333333333334,0.02777777777777779,0.35516502897455277,0.013840268626307311,3,36,comet,0.707638888888889,0.9312499999999994,0.2760778110778111,0.39923790495219064
comet-wmt22-comet-da-MOCK,probe_per_length,64,nl,0.9351851851851851,0.016037507477489565,0.4003527336860669,0.006982316180675719,3,36,comet,0.8055555555555556,1.0,0.31292232044332885,0.4214418914418914
comet-wmt22-comet-da-MOCK,probe_per_length,128,nl,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,256,nl,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
comet-wmt22-comet-da-MOCK,probe_per_length,512,nl,1.0,0.0,0.42857142857142855,0.0,3,36,comet,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,16,en,0.6666666666666666,0.02777777777777779,0.27942234132710314,0.01069076242657849,3,36,raw,0.5,0.8333333333333334,0.19600630850630849,0.32805606430606427
xlmr-xlm-roberta-large-MOCK,probe_per_length,32,en,0.7962962962962963,0.016037507477489596,0.3431594860166289,0.007459000144839028,3,36,raw,0.6798611111111112,0.9312499999999994,0.26583913110698826,0.3949170274170274
xlmr-xlm-roberta-large-MOCK,probe_per_length,64,en,0.9629629629629629,0.01603750747748965,0.4124464600655076,0.006982316180675774,3,36,raw,0.8333333333333334,1.0,0.3325,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,128,en,0.9722222222222222,0.0,0.4164777021919879,0.0,3,36,raw,0.9166666666666666,1.0,0.35768140589569164,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,256,en,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,512,en,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,16,fr,0.4537037037037037,0.01603750747748961,0.18009935390887766,0.005841911960507711,3,36,raw,0.3055555555555556,0.6388888888888888,0.1025784202569917,0.2235577222341928
xlmr-xlm-roberta-large-MOCK,probe_per_length,32,fr,0.7962962962962963,0.04243125643477628,0.33780205684967585,0.02221407692399358,3,36,raw,0.6944444444444444,0.9444444444444444,0.274232572982573,0.40109563055991626
xlmr-xlm-roberta-large-MOCK,probe_per_length,64,fr,0.9166666666666666,0.02777777777777779,0.3925422020660115,0.011999368133898175,3,36,raw,0.8055555555555556,1.0,0.311446978946979,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,128,fr,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,256,fr,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,512,fr,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,16,hu,0.5648148148148149,0.016037507477489596,0.24286974048878804,0.006862229569349239,3,36,raw,0.4020833333333335,0.75,0.17173086173086174,0.29953231292517
xlmr-xlm-roberta-large-MOCK,probe_per_length,32,hu,0.75,0.0,0.3241908884766027,0.0014460535499183926,3,36,raw,0.6111111111111112,0.8756944444444438,0.2346159016966471,0.37034340659340664
xlmr-xlm-roberta-large-MOCK,probe_per_length,64,hu,0.851851851851852,0.016037507477489596,0.36118669690098254,0.00904127380456888,3,36,raw,0.75,0.9722222222222222,0.2954558767951625,0.40611214182642746
