metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
comet,pooled,mean,19903,2,0.8399568207751476,0.06222047838533145,0.8383825602511329,0.06252574458634945,-110540.09216408424,-110524.294912578,,,,-0.21925868111603966,1.1568451135483768
comet,pooled,min,19903,2,0.7311557771713213,0.08064271023670228,0.7302976856450698,0.08077130458898803,-100216.63563347975,-100200.8383819735,,,,0.20142754056478362,0.7588222020566908
comet,pooled,max,19903,2,0.3016166338553128,0.12997556212569739,0.29916804356917115,0.1302032153341112,-81216.51388085692,-81200.71662935067,,,,-0.06571502602273555,0.8627582550242869
comet,pooled,median,19903,2,0.7446869525192936,0.07858710050572675,0.7424802020908094,0.07892599621595082,-101244.46009325473,-101228.66284174849,,,,-0.046993437209755344,0.9363850425668019
comet,pooled,power_mean,19903,3,0.8599866119284894,0.058196858703816766,0.8585161100308885,0.05850166907085169,-113199.2347579317,-113175.53888067233,-0.9216233181544892,,,-0.1347596783293846,1.0772895141450967
comet,pooled,softmin,19903,3,0.8610121483505616,0.057983333807803746,0.85927777228672,0.058343988065206784,-113345.55198115013,-113321.85610389076,0.3545555994196492,,,-0.13958613393322838,1.0843295274018503
cometkiwi,pooled,mean,19903,2,0.7749185841957247,0.07265489263473945,0.7745063362895361,0.07272139773742084,-104368.70713614172,-104352.90988463548,,,,-0.13283480972032496,1.0833494574954352
cometkiwi,pooled,min,19903,2,0.7091885423579215,0.08258492958170523,0.7076045613244248,0.08280953441646124,-99269.3005826977,-99253.50333119146,,,,0.15213668891238963,0.8267782045874953
cometkiwi,pooled,max,19903,2,0.29056784226167964,0.12898834826423158,0.29011778646530695,0.1290292561574036,-81520.00964808557,-81504.21239657933,,,,0.029748704526269175,0.7076529895175153
cometkiwi,pooled,median,19903,2,0.6871978932228617,0.08565049572729647,0.6867421372819364,0.08571286984964196,-97818.45948442836,-97802.66223292211,,,,0.006907401233498827,0.8641066379982305
cometkiwi,pooled,power_mean,19903,3,0.8267585041090111,0.06374131351677527,0.824402296629003,0.06417331318670473,-109576.82757314034,-109553.13169588098,-1.7270797652481986,,,-0.05591032353754187,1.019785547952115
cometkiwi,pooled,softmin,19903,3,0.827723918215928,0.06356346139954695,0.8261863445686425,0.06384648502264888,-109688.05020385399,-109664.35432659462,0.2055748454022658,,,-0.06787644252815275,1.0400629288570844
