metric,k,mean_S,ci_lo,ci_hi,n_docs,n
comet,1,0.9495708151347588,0.946743448616725,0.9523981816527927,179,412
comet,2,0.9233913840361814,0.9200337390644263,0.9267490290079364,179,412
comet,3,0.9059439770058769,0.9026165381783863,0.9092714158333676,179,412
comet,4,0.8982451310315389,0.8948655877152173,0.9016246743478605,179,412
comet,6,0.8932887855688285,0.8890511723276765,0.8975263988099805,179,412
cometkiwi,1,0.7765890402334362,0.7659534146709531,0.7872246657959193,179,412
cometkiwi,2,0.7718192765055644,0.7603348513622981,0.7833037016488307,179,412
cometkiwi,3,0.7691768262195409,0.7591911943349108,0.779162458104171,179,412
cometkiwi,4,0.7589443590831936,0.7493222535734174,0.7685664645929697,179,412
cometkiwi,6,0.7195984997451861,0.708915740881377,0.7302812586089952,179,412
