metric,k,severity,family,m,mean_dS,sd,n,sem
comet,1,major,accuracy,1,-0.3864231977333017,0.09328847217743653,294,0.005440694183774873
comet,1,major,fluency,1,-0.32265175110215594,0.1273278854587073,314,0.007185528276300119
comet,1,minor,accuracy,1,-0.10969679486790135,0.09802942539464111,309,0.005576699167303213
comet,1,minor,fluency,1,-0.08300126612186431,0.06552893852092706,300,0.003783315029476767
comet,2,major,accuracy,1,-0.24111050347081658,0.10052435877525591,294,0.005862699659996321
comet,2,major,accuracy,2,-0.4148298725992644,0.06911064519724554,294,0.004030614679232868
comet,2,major,fluency,1,-0.21915582192551558,0.11192712692935033,314,0.006316413192118085
comet,2,major,fluency,2,-0.38016947971028126,0.09166404481572947,314,0.00517290131357022
comet,2,minor,accuracy,1,-0.06695329950079563,0.059080444235282324,309,0.0033609690441867455
comet,2,minor,accuracy,2,-0.13091444130082733,0.0977600425757397,309,0.005561374514161509
comet,2,minor,fluency,1,-0.05620738089084625,0.04008225134096314,300,0.0023141498601431305
comet,2,minor,fluency,2,-0.11114774326483409,0.06957474176767678,300,0.004016899588836689
comet,3,major,accuracy,1,-0.17671273912296814,0.08194581073110367,294,0.004779176734521193
comet,3,major,accuracy,2,-0.3218282162129473,0.08492375372229304,294,0.004952853896700036
comet,3,major,accuracy,3,-0.423500338683323,0.060911448679325374,294,0.0035524278275731297
comet,3,major,fluency,1,-0.16808188663926094,0.09517603433575846,314,0.005371094348122905
comet,3,major,fluency,2,-0.30895973371851976,0.09915816673759834,314,0.005595819080417865
comet,3,major,fluency,3,-0.40486581898798607,0.07698740696072763,314,0.004344650723149999
comet,3,minor,accuracy,1,-0.047456962198115474,0.03937306407186273,309,0.002239855357101135
comet,3,minor,accuracy,2,-0.0942075945027052,0.07151695424714281,309,0.00406845737993998
comet,3,minor,accuracy,3,-0.13829815947122173,0.09647149311827027,309,0.005488071496648448
comet,3,minor,fluency,1,-0.04219599862893422,0.032060740127611814,300,0.0018510276943095316
comet,3,minor,fluency,2,-0.08059650142987569,0.053155347911304246,300,0.0030689254425459713
comet,3,minor,fluency,3,-0.1193895395596822,0.07103543705554027,300,0.004101232870601889
comet,4,major,accuracy,1,-0.1359385554076863,0.06697760275113318,294,0.0039062131175025498
comet,4,major,accuracy,2,-0.26180755098660785,0.08333623778805452,294,0.004860268087237605
comet,4,major,accuracy,3,-0.35872369072064253,0.0726688846648848,294,0.00423813541919355
comet,4,major,accuracy,4,-0.4286413058942678,0.05605662023264839,294,0.0032692884827372425
comet,4,major,fluency,1,-0.12944861847883576,0.07886570782354219,314,0.004450649373112107
comet,4,major,fluency,2,-0.253226867811695,0.0953242080845017,314,0.005379456276521891
comet,4,major,fluency,3,-0.34901231669696275,0.08643923199175042,314,0.004878048067953004
comet,4,major,fluency,4,-0.4174349794911731,0.07028696776445226,314,0.003966523063721616
comet,4,minor,accuracy,1,-0.03656372399006075,0.031217109141816843,309,0.001775879291916162
comet,4,minor,accuracy,2,-0.07216296342584308,0.05669884385162195,309,0.003225484532031951
comet,4,minor,accuracy,3,-0.10873287308563306,0.08225393592034387,309,0.004679262926491346
comet,4,minor,accuracy,4,-0.14236496085102118,0.09777800017087936,309,0.005562396086056468
comet,4,minor,fluency,1,-0.033387296199798584,0.02563202056394988,300,0.0014798653972470483
comet,4,minor,fluency,2,-0.06535699208577474,0.04166961811866291,300,0.002405796523783894
comet,4,minor,fluency,3,-0.09516204555829366,0.05865370345270969,300,0.0033863731477390417
comet,4,minor,fluency,4,-0.1265458114941915,0.07115423537958024,300,0.004108091695038264
comet,6,major,accuracy,1,-0.09038697720384922,0.05015255755478641,294,0.002924956554876007
comet,6,major,accuracy,2,-0.18296264081585165,0.07073357836975643,294,0.004125266063977819
comet,6,major,accuracy,3,-0.2673795461451926,0.080609261680489,294,0.004701227610944831
comet,6,major,accuracy,4,-0.33792740876982813,0.07284364924679201,294,0.004248327896593157
comet,6,major,accuracy,5,-0.38847245945006,0.06616095825796432,294,0.003858585443466419
comet,6,major,accuracy,6,-0.4313923879748299,0.05297569822916551,294,0.0030896054625980445
comet,6,major,fluency,1,-0.08643817256210716,0.058088751489608965,314,0.0032781378946163293
comet,6,major,fluency,2,-0.178645492644067,0.07376922283422678,314,0.004163038086169459
comet,6,major,fluency,3,-0.2620826851410471,0.08000209477226482,314,0.004514779398702716
comet,6,major,fluency,4,-0.33636860188784873,0.07260611965852413,314,0.0040974003766672765
comet,6,major,fluency,5,-0.38667372571434944,0.0668047888900418,314,0.003770012341226929
comet,6,major,fluency,6,-0.4280963759323594,0.06082449198814647,314,0.003432524662589757
comet,6,minor,accuracy,1,-0.026243817651927664,0.022610616932053355,309,0.001286273056376467
comet,6,minor,accuracy,2,-0.04850312652711344,0.03913869648696554,309,0.002226522651025613
comet,6,minor,accuracy,3,-0.07202927908079523,0.055996706649980625,309,0.00318554134219928
comet,6,minor,accuracy,4,-0.09698217277773762,0.0712628392680816,309,0.00405400128386041
comet,6,minor,accuracy,5,-0.1221003909519961,0.08593783189162782,309,0.0048888324461818485
comet,6,minor,accuracy,6,-0.1443610330229824,0.09703773370535163,309,0.0055202837981870685
comet,6,minor,fluency,1,-0.02337782621383667,0.01819255804191126,300,0.0010503478282745356
comet,6,minor,fluency,2,-0.04419735789299011,0.029222967999814456,300,0.0016871888441212695
comet,6,minor,fluency,3,-0.06621492644151052,0.04218865786526917,300,0.0024357632975262177
comet,6,minor,fluency,4,-0.08659526447455089,0.050866086895286364,300,0.0029367548961616477
comet,6,minor,fluency,5,-0.10836676041285197,0.06410907681598146,300,0.003701339275720529
comet,6,minor,fluency,6,-0.12883476932843527,0.07202392142675153,300,0.004158303042382744
cometkiwi,1,major,accuracy,1,-0.36126643439539435,0.0887433900297933,294,0.005175619609947277
cometkiwi,1,major,fluency,1,-0.30919438391734083,0.11103469505540915,314,0.006266050347861511
cometkiwi,1,minor,accuracy,1,-0.10839310770667486,0.0982773097489176,309,0.005590800815522776
cometkiwi,1,minor,fluency,1,-0.08595132102568945,0.07627831794722455,300,0.004403930740016195
cometkiwi,2,major,accuracy,1,-0.26940438283138535,0.08943980477404675,294,0.00521623534263232
cometkiwi,2,major,accuracy,2,-0.3949627980691235,0.07237348164202576,294,0.004220907165039255
cometkiwi,2,major,fluency,1,-0.2309852539543893,0.10464136653082581,314,0.005905253946291111
cometkiwi,2,major,fluency,2,-0.3552670056463047,0.0769861344897158,314,0.004344578913456441
cometkiwi,2,minor,accuracy,1,-0.06246985721742451,0.06525795118286712,309,0.0037123951360149773
cometkiwi,2,minor,accuracy,2,-0.12360031666493339,0.09427510690372531,309,0.005363123450442735
cometkiwi,2,minor,fluency,1,-0.049534933865070345,0.046887365862400145,300,0.002707043330224919
cometkiwi,2,minor,fluency,2,-0.09763738314310709,0.06987839878794351,300,0.00403443123507592
