metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
mock,k=2,mean,540,2,0.9295357072132437,0.02537449617417461,0.9293576570725396,0.02540653426071533,-3963.931552784024,-3955.3484145049074,,,,-0.04346171232665138,1.0416752797644617
mock,k=2,min,540,2,0.9302110713140207,0.025252602634373778,0.930067702324269,0.025278527825630188,-3969.132138259443,-3960.5489999803262,,,,0.10611292395624132,0.8937631619996749
mock,k=2,max,540,2,0.5357159133022107,0.06513355434771695,0.5350792924911975,0.06517819422759864,-2945.8206695694953,-2937.2375312903787,,,,0.1674007931371203,0.720131972376027
mock,k=2,median,540,2,0.9295357072132437,0.02537449617417461,0.9293576570725396,0.02540653426071533,-3963.931552784024,-3955.3484145049074,,,,-0.04346171232665138,1.0416752797644617
mock,k=2,power_mean,540,3,0.9897037499498501,0.00969956861580917,0.9896138558773954,0.00974181889246142,-5000.527776423426,-4987.653069004751,-3.916949282902417,-4.116949282902416,-3.7169492829024167,-0.0007710117183262476,1.0016828171357626
mock,k=2,softmin,540,3,0.9893073568289069,0.009884516167525375,0.9892337116076796,0.00991849739358634,-4980.128631260222,-4967.2539238415475,0.13691685851869453,0.12925784943147453,0.145029692425499,-0.00488666151453155,1.0077548807772947
mock,k=4,mean,1020,2,0.9160420582209647,0.02601145064239327,0.9159615801223606,0.026023914327415677,-7440.405594322699,-7430.550478510142,,,,-0.07761993624752711,1.0791726377484259
mock,k=4,min,1020,2,0.8742723121476234,0.03183091669333647,0.8740725787587436,0.031856190258710386,-7028.52716641322,-7018.672050600663,,,,0.17219645813165116,0.8300805850768374
mock,k=4,max,1020,2,0.3345360569045853,0.07323116548253576,0.3344189401686868,0.07323760927098982,-5328.833748958506,-5318.978633145949,,,,0.1853438212527065,0.6723658081871462
mock,k=4,median,1020,2,0.8153046808795122,0.03857994693744568,0.8151081463774422,0.03860046796279909,-6636.246199667249,-6626.391083854693,,,,0.07153955179514769,0.884009493661675
mock,k=4,power_mean,1020,3,0.9875870025744425,0.010001658325407054,0.9875438303257088,0.0100190360495001,-9388.208909080007,-9373.426235361172,-3.990929523063624,-4.190929523063623,-3.7909295230636237,0.0002254049825958928,0.9999183927787432
mock,k=4,softmin,1020,3,0.9873313611411709,0.01010412381851133,0.9872893570912674,0.010120860537890249,-9367.415744791577,-9352.633071072742,0.13573003673719425,0.12813741742043616,0.14377254703232328,-0.006627062592977771,1.0097668783961526
