metric,k,severity,family,m,mean_dS,sd,n,sem
mock,1,major,accuracy,1,-0.2983975358263368,0.039998961386487134,60,0.005163843710515273
mock,1,major,fluency,1,-0.14516972279627155,0.045484800355119016,60,0.005872062476031505
mock,1,minor,accuracy,1,-0.07939733294797881,0.03863776668628118,60,0.004988114230353825
mock,1,minor,fluency,1,-0.04746755998082627,0.040918797428446195,60,0.005282594032906899
mock,2,major,accuracy,1,-0.21718399190147863,0.03641528483178494,60,0.004701193056696754
mock,2,major,accuracy,2,-0.29569032764293185,0.027500493243173812,60,0.0035502984114433923
mock,2,major,fluency,1,-0.09320586556159847,0.03328241152875684,60,0.0042967408524165656
mock,2,major,fluency,2,-0.14869824241100954,0.03354376116366326,60,0.004330480945200898
mock,2,minor,accuracy,1,-0.0382407605961457,0.02560303767417662,60,0.003305337950813571
mock,2,minor,accuracy,2,-0.07311006415666468,0.03339074839297209,60,0.004310727081446099
mock,2,minor,fluency,1,-0.02533933388560294,0.028121018782177005,60,0.0036304079140585836
mock,2,minor,fluency,2,-0.052575806078939975,0.032735948182433604,60,0.004226192737762477
mock,4,major,accuracy,1,-0.14800901763301522,0.02511900578965591,60,0.003242849703220834
mock,4,major,accuracy,2,-0.21944914157913203,0.03187413353211592,60,0.004114932944822545
mock,4,major,accuracy,3,-0.26871427600119197,0.031743441617905155,60,0.00409806069124847
mock,4,major,accuracy,4,-0.2966352190802669,0.03016801929594768,60,0.003894674544042312
mock,4,major,fluency,1,-0.051496614742946686,0.025298015187341785,60,0.0032659597170892345
mock,4,major,fluency,2,-0.09257702685499286,0.027854093113037968,60,0.003595947958350225
mock,4,major,fluency,3,-0.1257312034157586,0.026715666953980272,60,0.003448977773186314
mock,4,major,fluency,4,-0.1519926545928076,0.027459120329305944,60,0.003544957191230248
mock,4,minor,accuracy,1,-0.02032337876239648,0.018856898084797583,60,0.0024344150747850524
mock,4,minor,accuracy,2,-0.039365075977425515,0.024034116375102842,60,0.003102791082052809
mock,4,minor,accuracy,3,-0.060473346943089375,0.023522183568630613,60,0.0030367008409246704
mock,4,minor,accuracy,4,-0.07896164083946994,0.02594071232547542,60,0.0033489315608441254
mock,4,minor,fluency,1,-0.012547031393096951,0.020017433216120577,60,0.002584239515995139
mock,4,minor,fluency,2,-0.02670380100251654,0.02333906364346608,60,0.0030130601602406373
mock,4,minor,fluency,3,-0.03854629127780826,0.02980911428062503,60,0.0038483401058018144
mock,4,minor,fluency,4,-0.04974368661958815,0.028987109556126826,60,0.003742219752185635
