metric,k,split,level,p_hat,cv_r2,n
comet,2,severity,major,-0.9085180102306764,0.9204899740227354,1628
comet,2,severity,minor,2.3052014208351608,0.8453004984082362,1630
comet,2,family,accuracy,-0.4391902862331205,0.927412605604897,1618
comet,2,family,fluency,-1.02666670170456,0.9374017211720267,1640
comet,3,severity,major,-0.7778690035540965,0.8863348199347393,2236
comet,3,severity,minor,1.299056296734657,0.7827585871777263,2239
comet,3,family,accuracy,-0.3948963126942158,0.9166675276554245,2221
comet,3,family,fluency,-0.9439852831979436,0.9063184883452831,2254
comet,4,severity,major,-0.7397643380988012,0.8519532750782528,2844
comet,4,severity,minor,0.19511577571185304,0.7266408223315178,2848
comet,4,family,accuracy,-0.5361968576864256,0.9007643692124023,2824
comet,4,family,fluency,-0.9650905410800437,0.8724828385017509,2868
comet,6,severity,major,-0.4944050052242572,0.7776598103556633,4060
comet,6,severity,minor,-1.7319825382930116,0.6136696420460277,4066
comet,6,family,accuracy,-0.6850164377225023,0.8537762501614012,4030
comet,6,family,fluency,-1.0132303428069571,0.808086013834115,4096
cometkiwi,2,severity,major,-1.547374990077523,0.9170233903666638,1628
cometkiwi,2,severity,minor,0.6491819610218872,0.8189448734770861,1630
cometkiwi,2,family,accuracy,-0.9922062772267299,0.9191122605775995,1618
cometkiwi,2,family,fluency,-1.361716289457911,0.9055615245739124,1640
cometkiwi,3,severity,major,-1.7338475345560938,0.8918017141437845,2236
cometkiwi,3,severity,minor,-0.34809816610104055,0.7823915882296084,2239
cometkiwi,3,family,accuracy,-1.2889873879387863,0.9065137237300773,2221
cometkiwi,3,family,fluency,-1.7653133809075388,0.8988069432207036,2254
cometkiwi,4,severity,major,-1.6978813514156925,0.8714001166420275,2844
cometkiwi,4,severity,minor,-0.1064919208546839,0.7133845479321399,2848
cometkiwi,4,family,accuracy,-1.2082240737415824,0.890508485005531,2824
cometkiwi,4,family,fluency,-1.7518828668439301,0.8767936318267749,2868
cometkiwi,6,severity,major,-1.9176498343562245,0.7985673429937197,4060
cometkiwi,6,severity,minor,1.2683178897366052,0.34841231019382635,4066
cometkiwi,6,family,accuracy,-1.114858313108018,0.7782621607915716,4030
cometkiwi,6,family,fluency,-1.5095088912514163,0.7541321826395482,4096
