metric,k,severity,family,m,mean_dS,sd,n,sem
mock,2,major,accuracy,1,-0.22013787269846452,0.038440014037365376,60,0.004962584473156514
mock,2,major,accuracy,2,-0.3010076803784062,0.03311527599538219,60,0.004275163747839249
mock,2,major,fluency,1,-0.09573277282123666,0.033002535462423266,60,0.0042606090076195
mock,2,major,fluency,2,-0.1526854431063928,0.03462904773252662,60,0.00447059083876991
mock,2,minor,accuracy,1,-0.044235047292823654,0.029084422471691223,60,0.0037547827955640286
mock,2,minor,accuracy,2,-0.07959487285831389,0.034094511997375516,60,0.004401582572096811
mock,2,minor,fluency,1,-0.026982691641143138,0.030179463063824515,60,0.0038961519281224734
mock,2,minor,fluency,2,-0.0476216886822665,0.028108815355805474,60,0.0036288324584884636
mock,4,major,accuracy,1,-0.1504950100058694,0.030933360962742684,60,0.003993479728364168
mock,4,major,accuracy,2,-0.2248709080807717,0.029855645198916123,60,0.003854347221522652
mock,4,major,accuracy,3,-0.2699532635233755,0.028462263973169127,60,0.0036744624787814458
mock,4,major,accuracy,4,-0.3019227511463979,0.02797067947957963,60,0.0036109991935505815
mock,4,major,fluency,1,-0.05208798936912094,0.02052861959838961,60,0.002650233394173005
mock,4,major,fluency,2,-0.09659990976862023,0.02385533871320022,60,0.003079710985145384
mock,4,major,fluency,3,-0.12535432251156262,0.02684277225357258,60,0.0034653869968041713
mock,4,major,fluency,4,-0.15282322940697762,0.02891321752658143,60,0.0037326803321907423
mock,4,minor,accuracy,1,-0.024310192622294332,0.017638032958144218,60,0.0022770602635583366
mock,4,minor,accuracy,2,-0.04564165348767172,0.022130559008024728,60,0.00285704288267801
mock,4,minor,accuracy,3,-0.0659552108505356,0.022504647976891553,60,0.0029053375608920472
mock,4,minor,accuracy,4,-0.08388625460931122,0.026425625834740226,60,0.003411533625701912
mock,4,minor,fluency,1,-0.014590831201693742,0.01709308544227105,60,0.0022067078417738737
mock,4,minor,fluency,2,-0.03166145054704896,0.020309616858765017,60,0.0026219602620616766
mock,4,minor,fluency,3,-0.04581267532227832,0.023754870414512602,60,0.0030667405835574195
mock,4,minor,fluency,4,-0.05499516275806799,0.027595947230512962,60,0.0035626214682198463
